,#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Lyrics
0,1,Blinding Lights,['The Weeknd'],58,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",Blinding Lights,2020-09-11,03:20,52,73,0,0,35,0,0,-6,C♯/D♭ Major,4,2024-11-09,6qYkmqFsXbj8CQjAdbYz07,Universal Republic Records,3B,USUG11904206,"240 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةСрпскиBlinding Lights Lyrics[Intro]
Yeah

[Verse 1]
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

[Pre-Chorus]
I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

[Verse 2]
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like[Pre-Chorus]
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

[Bridge]
I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

[Post-Chorus]
Hey, hey, hey

[Outro]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch278Embed"
1,2,Circles,['Post Malone'],83,120,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop",Hollywood's Bleeding,2019-09-06,03:35,70,76,19,0,55,0,0,-3,C Major,4,2024-11-09,21jGcNKet2qwijlDFuPiPb,Republic Records,8B,USUM71915699,"140 ContributorsTranslationsEspañolPortuguêsPolskiDeutschفارسیNederlandsČeskyРусскийCircles Lyrics[Intro]
Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

[Verse 1]
We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

[Chorus]
Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

[Verse 2]
Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go
See Post Malone LiveGet tickets as low as $55You might also like[Chorus]
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

[Bridge]
Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

[Chorus]
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away211Embed"
2,3,The Box,['Roddy Ricch'],81,117,"melodic rap, rap, trap",Hip Hop,Please Excuse Me for Being Antisocial,2019-12-06,03:16,90,59,10,0,64,0,70,-7,A#/B♭ Minor,4,2024-11-09,0nbXyq5TXYPCO7pr3N8S4I,Atlantic Records,3A,USAT21906978,"395 ContributorsTranslationsEspañolPortuguêsDeutschFrançaisفارسیChinese TraditionalAzərbaycanca / آذربايجانРусскийTürkçeThe Box Lyrics[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at

[Verse 1]
I was out back where the stash at
Cruise the city in a bulletproof Cadillac (Skrrt)
'Cause I know these niggas after where the bag at (Yeah)
Gotta move smarter, gotta move harder
Nigga try to get me for my water
I'll lay his ass down, on my son, on my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'
I done put my whole arm in the rim, Vince Carter (Yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me
You might also like[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at, hah

[Verse 2]
Hahaha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (Yeah)
Took her to the forest, put the wood in her mouth
Bitch, don't wear no shoes in my house
The private I'm flyin' in, I never wan' fly again
I'll take my chances in traffic (Yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangster, so that's why she picked a Crip
Shawty call me Crisco 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street wealthy, yeah
[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at339Embed"
3,4,Don't Start Now,['Dua Lipa'],70,124,"dance pop, pop, uk pop",Pop,Don't Start Now,2019-10-31,03:03,79,79,1,0,68,0,10,-5,B Minor,4,2024-11-09,6WrI0LAC5M1Rw2MnX2ZvEg,Warner Records,10A,GBAHT1901121,"151 ContributorsTranslationsTürkçeEspañolСрпскиРусскийPortuguêsPolskiItalianoDeutschFrançaisفارسیNederlandsDon’t Start Now Lyrics[Intro]
If you don't wanna see me

[Verse 1]
Did a full one-eighty, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up

[Refrain]
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

[Chorus]
Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

[Verse 2]
Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side
See Dua Lipa LiveGet tickets as low as $45You might also like[Refrain]
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

[Chorus]
Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

[Bridge]
Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
[Chorus]
Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

[Outro]
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh109Embed"
4,5,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",73,90,"hip hop, north carolina hip hop, pop rap, rap, trap, melodic rap",Hip Hop,BLAME IT ON BABY,2020-04-17,03:01,75,69,25,0,50,10,10,-8,B Major,4,2024-11-09,7ytR5pFWmSjzHJIeQkgog4,South Coast Music Group/Interscope Records,1B,USUM72007941,"2 ContributorsDaBaby Essentials Lyrics1. SpotemGotem- Beat Box 3 (feat. DaBaby)
2. DaBaby- VIBEZ
3. DaBaby- Masterpiece
4. DaBaby- PRACTICE
5. Quality Control, Lil Baby & DaBaby- Baby
6. DaBaby- Baby Sitter (feat. Offset)
7. DaBaby- ROCKSTAR (feat. Roddy Ricch)
8. DaBaby- Suge
9. DaBaby- Handgun (feat. NoCap & Polo G)
10. DaBaby- BOP
11. DaBaby- INTRO
12. DaBaby- Brother's Keeper
13. DaBaby- JUMP (feat. YoungBoy Never Broke Again)
14. Post Malone- Enemies (feat. DaBaby)
15. Megan Thee Stallion- Cash Shit (feat. DaBaby)
16. DaBaby- PEEP HOLE
17. DaBaby- BLIND (feat. Young Thug)
18. DaBaby- SHUT UP
19. DaBaby- PICK UP (feat. Quavo)
20. Dreamville, J. Cole & Lute- Under the Sun (feat. DaBaby)
21. DaBaby- Goin' Baby
22. DaBaby- GOSPEL (feat. Chance the Rapper, Gucci Mane & YK Osiris)
23. DaBaby- Gucci Peacoat
24. DaBaby- LIGHTSKIN SHIT (feat. Future & jetsonmade)
25. DaBaby- 21
26. DaBaby- POP STAR (feat. Kevin Gates)You might also likeEmbed"
5,6,Adore You,['Harry Styles'],79,99,pop,Pop,Fine Line,2019-12-13,03:27,68,77,2,0,57,0,10,-4,G#/A♭ Major,4,2024-11-09,3jjujdWJ72nww5eGnfs2E7,Columbia,4B,USSM11912588,"124 ContributorsTranslationsTürkçeEspañolPortuguêsPolskiDeutschBahasa IndonesiaAdore You Lyrics[Verse 1: Harry Styles]
Walk in your rainbow paradise (Paradise)
Strawberry lipstick state of mind (State of mind)
I get so lost inside your eyes
Would you believe it?

[Pre-Chorus: Harry Styles]
You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine

[Chorus: Harry Styles]
Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

[Verse 2: Harry Styles]
Your wonder under summer skies (Summer skies)
Brown skin and lemon over ice
Would you believe it?
You might also like[Pre-Chorus: Harry Styles]
You don't have to say you love me
I just wanna tell you somethin'
Lately, you've been on my mind

[Chorus: Harry Styles]
Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

[Bridge: Amy Allen]
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do

[Chorus: Harry Styles & Amy Allen]
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do (Ah-ah-ah)
(It's the only thing I'll ever do, it's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you
Oh, honey (Ah-ah-ah), oh, honey
(It's the only thing I'll ever do, it's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you (It's the only thing I'll ever do)
[Outro: Harry Styles]
Ooh, ooh
Oh, honey
Ooh, ooh
Just let me adore you
Like it's the only thing I'll ever do100Embed"
6,7,Life Is Good (feat. Drake),"['Future', 'Drake']",70,142,"atl hip hop, hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, pop rap","Hip Hop, Pop",Life Is Good (feat. Drake),2020-01-10,03:57,68,61,7,0,51,40,10,-6,D Minor,4,2024-11-09,5yY9lUy8nbvjM1Uyo1Uqoc,Epic/Freebandz,7A,USSM11914962,"3 ContributorsNew Music Friday 1/10/20 LyricsSelena Gomez - Rare
Future - Life Is Good (feat. Drake)
Halsey - You should be sad
Mac Miller - Good News
Megan Thee Stallion - Diamonds
Khalid - Eleven
Tame Impala - Lost In Yesterday
Celeste - Stop This Flame
Lil Baby - Sum 2 Prove
Selena Gomez - Vulnerable
Conan Gray - The Story
Nicky Jam - Muévelo
070 Shake - Guilty Conscience
Mura Masa - Teenage Headache Dreams (with Ellie Rowsell)
Georgia - 24 Hours - Edit
John Legend - Conversations in the Dark
Sia - Original (from Dolittle)
Selena Gomez - Crowded Room (feat. 6LACK)
Moneybagg Yo - Protect Da Brand (feat. DaBaby)
Alicia Keys - Underdog
Ozzy Osbourne - Ordinary Man (feat. Elton John)
J Balvin - Morado
Static & Ben El - Further Up (Na, Na, Na, Na, Na) (feat. Pitbull)
Robin Schulz - In Your Eyes (feat. Alida)
Shallou - Older
Quinn XCII - Two 10s
Orion Sun - Ne Me Quitte Pas (Don't Leave Me)
Leyla Blue - Peppa Pig (Prod. Y2K)
Sam Feldt - 2 Hearts (feat. Gia Koka)
Carnage - Hella Neck
The Blaze - Somewhere
Kevitch - Sunrise
Lane 8 - Road
Becky Hill - Better Off Without You (feat. Shift K3Y)
SHY Martin - Slow
Ethan Gruska - Enough for Now (feat. Phoebe Bridgers)
Gabby Barrett - Hall of Fame
Devon Gilfillian - The Good Life
T.R.U. - Virgil Discount
TLE Cinco - Fastlane (feat. Clever)
Baby Goth - Afterparty
Amindi - Love Em Leave Em
Jay Menez - Solo (with Rauw Alejandro)
Kodaline - Wherever You Are
EDEN - isohel
Easy Life - Dead Celebrities
The Big Moon - Barcelona
chloe moriondo - Kindergarten
Olivia Rodrigo - Breaking Free - Nini, Ricky & E.J. Version
Nightly - the movies
brando - Look Into My Eyes
ripmattblack - You Love It!
Key Glock - Look At They Face
Royal & the Serpent - MMXX
Beach Bunny - Cloud 9
Moses Sumney - Me in 20 Years
Tennis - Need Your Love
gnash - hungover & i miss u
Artists for Peace and Justice - Under the Supermoon
Marcus King - Beautiful Stranger
Caitlyn Smith - Long Time Coming
Winona Oak - Control
Whethan - Stay Forever (feat. STRFKR)
Quando Rondo - Blue Opps
Aly Ryan - You Ain't Him
Nodis - Missed Calls, Broken Hearts
Noah Neiman - Hard
SAYGRACE - Loyal
Caroline Rose - Feel The Way I Want
flora cash - You Love Me
Little Big Town - Nightfall
Nathaniel Rateliff - And It's Still Alright
Alexandra Savior - But You
Dexter - Answer to Love
Elley Duhé - MIDDLE OF THE NIGHT
Now United - Let Me Be The One
Gavin Haley - Nowhere
guardin - alive
Grouplove - Deleter
Joywave - Half Your Age
Picture This - Winona Ryder
Charlotte Rose Benjamin - Party City
Tessa Kaye - Fool's Gold
Jacquie - Forever
jame - Fiya
Bankrol Hayden - Costa Rica
Masiwei - The World Is Yours
Silverstein - Infinite
Demob Happy - Mother Machine
The Lone Bellow - Good Times
Jac Ross - It's OK To Be Black
Street Bud - What's The Move
Jake Isaac - New York
Circa Waves - Move to San FranciscoEmbed"
7,8,Memories,['Maroon 5'],82,91,pop,Pop,JORDI (Deluxe),2021-06-11,03:09,78,33,84,0,60,0,0,-7,B Major,4,2024-11-09,4cktbXiXOapiLBMprHFErI,Interscope Records*,1B,USUM71913350,"116 ContributorsTranslationsDeutschFrançaisTürkçePortuguêsPolskiفارسیMemories Lyrics[Chorus]
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

[Verse 1]
There's a time that I remember when I did not know no pain
When I believed in forever and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

[Pre-Chorus]
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
[Chorus]
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
See Maroon 5 LiveGet tickets as low as $42You might also like[Post-Chorus]
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you

[Verse 2]
There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (Ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah

[Pre-Chorus]
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
[Chorus]
Here's to the ones that we got (Oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (No, no)
Toast to the ones here today (Ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (Ayy)
And the memories bring back, memories bring back you
[Post-Chorus]
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)
Memories bring back, memories bring back you

[Outro]
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you70Embed"
8,9,The Bones,['Maren Morris'],64,77,"classic texas country, contemporary country",Country,GIRL,2019-03-08,03:17,61,57,28,0,33,0,10,-7,B Minor,4,2024-11-09,7yFhA2fUsL2oIMWlw5DaHQ,Columbia Nashville,10A,USG4X1800054,"42 ContributorsThe Bones Lyrics[Verse 1]
We're in the homestretch of the hard times
We took a hard left, but we're alright
Yeah, life sure can try to put love through it, but
We built this right, so nothing's ever gonna move it

[Chorus]
When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain 'cause you and I remain the same
When there ain't a crack in the foundation
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good

[Verse 2]
Call it dumb luck, but baby, you and I
Can't even mess it up, yeah, though we both tried
No, it don't always go the way we planned it
But the wolves came and went and we're still standing

[Chorus]
When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain 'cause you and I remain the same
When there ain't a crack in the foundation
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good
When the bones are good
See Maren Morris LiveGet tickets as low as $55You might also like[Bridge]
Bones are good, the rest, the rest don't matter (Baby, it don't really matter)
Paint could peel, the glass, the glass could shatter (Oh, the glass, oh, the glass could shatter)
Bones are good, the rest, the rest don't matter (Ooh)
Paint could peel, the glass, the glass could shatter (Yeah)

[Chorus]
When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain (Let it rain, let it rain)
'Cause you and I remain the same (Woo)
When there ain't a crack in the foundation (Woo)
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good

[Outro]
Yeah, ooh9Embed"
9,10,Someone You Loved,['Lewis Capaldi'],85,110,"pop, uk pop",Pop,Divinely Uninspired To A Hellish Extent,2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭ Major,4,2024-11-09,7qEHsqek33rTcFNT9PFqLf,Vertigo Berlin,3B,DEUM71807062,"226 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisالعربيةTürkçeSomeone You Loved Lyrics[Verse 1]
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

[Verse 2]
I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like[Bridge]
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

[Chorus]
For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
