#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Last Night","Morgan Wallen",76,204,"contemporary country","Country","3 Songs At A Time Sampler",2023-01-31,02:43,49,67,41,0,49,0,10,-5,F#/G♭ Major,4,2024-11-09,59uQI0PADDKeE6UZDTJEe8,"Big Loud Records / Mercury Records / Republic Records",2B,USUG12300802
2,"Flowers","Miley Cyrus",86,118,"pop","Pop","Endless Summer Vacation",2023-08-18,03:20,71,69,6,0,63,0,0,-5,C Major,4,2024-11-09,7DSAEUvxU8FajXtRloy8M0,"Columbia",8B,USSM12209777
3,"Kill Bill","SZA",77,89,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS",2022-12-09,02:33,64,73,5,17,43,0,10,-6,G#/A♭ Major,4,2024-11-09,3OHfY25tqY28d16oZczHc8,"Top Dawg Entertainment/RCA Records",4B,USRC12204584
4,"Anti-Hero","Taylor Swift",81,97,"pop","Pop","Midnights",2022-10-21,03:20,63,65,12,0,49,0,10,-7,E Major,4,2024-11-09,0V3wPSX9ygBnCm8psDIegu,"Taylor Swift",12B,USUG12205736
5,"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin,The Weeknd,21 Savage",81,98,"rap, canadian contemporary r&b, canadian pop, pop, atl hip hop, hip hop","Hip Hop, R&B, Pop","HEROES & VILLAINS",2022-12-02,03:41,72,61,39,0,16,0,0,-6,C♯/D♭ Minor,4,2024-11-09,2dHHgzDwk4BJdRwy9uXhTO,"Republic Records",12A,USUG12208791
6,"Calm Down (with Selena Gomez)","Rema,Selena Gomez",78,107,"afrobeats, nigerian pop, pop, post-teen pop","R&B, Pop","Calm Down (with Selena Gomez)",2022-08-25,03:59,80,81,38,0,80,0,10,-5,B Major,4,2024-11-09,0WtM2NBVQNNJLh6scP13H8,"Mavin Records / Jonzing World",1B,NGA3B2214021
7,"Die For You (with Ariana Grande) - Remix","The Weeknd,Ariana Grande",66,67,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Die For You",2023-02-27,03:52,56,52,27,0,49,0,30,-7,C♯/D♭ Minor,4,2024-11-09,4JNdwEfqwFRiAeEISC8RU8,"XO / Republic Records",12A,USUG12301287
8,"Fast Car","Luke Combs",81,98,"contemporary country, country","Country","Gettin' Old",2023-03-24,04:25,71,60,19,0,67,0,10,-6,G#/A♭ Major,4,2024-11-09,1Lo0QY9cvc8sUB2vnIOxDT,"River House Artists/Columbia Nashville",4B,US6XF2200436
9,"Snooze","SZA",85,143,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS",2022-12-09,03:21,56,55,14,0,39,10,10,-7,F Major,4,2024-11-09,4iZ4pt7kvcaH6Yo8UoZ4s2,"Top Dawg Entertainment/RCA Records",7B,USRC12204591
10,"I'm Good (Blue)","David Guetta,Bebe Rexha",85,128,"big room, dance pop, edm, pop, pop dance","Electronic, Pop","I'm Good (Blue)",2022-08-26,02:55,56,97,0,0,30,0,30,-4,G Minor,4,2024-11-09,4uUG5RXrOk84mYEfFvj3cK,"Parlophone UK",6A,UKWLG2200055
