#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Blinding Lights","The Weeknd",58,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Blinding Lights",2020-09-11,03:20,52,73,0,0,35,0,0,-6,C♯/D♭ Major,4,2024-11-09,6qYkmqFsXbj8CQjAdbYz07,"Universal Republic Records",3B,USUG11904206
2,"Circles","Post Malone",83,120,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,03:35,70,76,19,0,55,0,0,-3,C Major,4,2024-11-09,21jGcNKet2qwijlDFuPiPb,"Republic Records",8B,USUM71915699
3,"The Box","Roddy Ricch",81,117,"melodic rap, rap, trap","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,03:16,90,59,10,0,64,0,70,-7,A#/B♭ Minor,4,2024-11-09,0nbXyq5TXYPCO7pr3N8S4I,"Atlantic Records",3A,USAT21906978
4,"Don't Start Now","Dua Lipa",70,124,"dance pop, pop, uk pop","Pop","Don't Start Now",2019-10-31,03:03,79,79,1,0,68,0,10,-5,B Minor,4,2024-11-09,6WrI0LAC5M1Rw2MnX2ZvEg,"Warner Records",10A,GBAHT1901121
5,"ROCKSTAR (feat. Roddy Ricch)","DaBaby,Roddy Ricch",73,90,"hip hop, north carolina hip hop, pop rap, rap, trap, melodic rap","Hip Hop","BLAME IT ON BABY",2020-04-17,03:01,75,69,25,0,50,10,10,-8,B Major,4,2024-11-09,7ytR5pFWmSjzHJIeQkgog4,"South Coast Music Group/Interscope Records",1B,USUM72007941
6,"Adore You","Harry Styles",79,99,"pop","Pop","Fine Line",2019-12-13,03:27,68,77,2,0,57,0,10,-4,G#/A♭ Major,4,2024-11-09,3jjujdWJ72nww5eGnfs2E7,"Columbia",4B,USSM11912588
7,"Life Is Good (feat. Drake)","Future,Drake",70,142,"atl hip hop, hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, pop rap","Hip Hop, Pop","Life Is Good (feat. Drake)",2020-01-10,03:57,68,61,7,0,51,40,10,-6,D Minor,4,2024-11-09,5yY9lUy8nbvjM1Uyo1Uqoc,"Epic/Freebandz",7A,USSM11914962
8,"Memories","Maroon 5",82,91,"pop","Pop","JORDI (Deluxe)",2021-06-11,03:09,78,33,84,0,60,0,0,-7,B Major,4,2024-11-09,4cktbXiXOapiLBMprHFErI,"Interscope Records*",1B,USUM71913350
9,"The Bones","Maren Morris",64,77,"classic texas country, contemporary country","Country","GIRL",2019-03-08,03:17,61,57,28,0,33,0,10,-7,B Minor,4,2024-11-09,7yFhA2fUsL2oIMWlw5DaHQ,"Columbia Nashville",10A,USG4X1800054
10,"Someone You Loved","Lewis Capaldi",85,110,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭ Major,4,2024-11-09,7qEHsqek33rTcFNT9PFqLf,"Vertigo Berlin",3B,DEUM71807062
